order_item_name,description,photo_url,main_categories,ingredients,cuisine_types
Salad,A mix of fresh vegetables with dressing,https://avatars.mds.yandex.net/i?id=50fee4e1ecfb842989674146c9eeafe4024090b1-11432272-images-thumbs&n=13,Vegetable;Dish,Lettuce;Tomato;Cucumber;Onion;Bell Pepper;Olive Oil;Vinegar,American;Mediterranean
Pizza,A savory dish of Italian origin,https://avatars.mds.yandex.net/i?id=cc1e5084d692f561727a100f44651837a9961662-10870276-images-thumbs&n=13,Dish;Bakery,Dough;Tomato Sauce;Cheese;Pepperoni;Mushrooms,Italian
Burger,A grilled patty served in a bun,https://avatars.mds.yandex.net/i?id=b355183fb72ca14577b50bba5e8edead4ce7f4f6-10513429-images-thumbs&n=13,Dish;Meat;Bakery;Vegetable,Beef;Lettuce;Tomato;Onion;Ketchup;Mustard;Bun,American
Sushi,A Japanese dish consisting of vinegared rice and various ingredients,https://avatars.mds.yandex.net/i?id=b355183fb72ca14577b50bba5e8edead4ce7f4f6-10513429-images-thumbs&n=13,Dish;Seafood;Rice;Vegetable;Fish;Additive;Condiment;Plant Derivative,Rice;Nori;Fish;Vegetables;Soy Sauce;Wasabi;Ginger,Japanese
Pasta,Italian noodles served with sauce,https://avatars.mds.yandex.net/i?id=2e036901e6854f0a337f3fa8c19537f06efc47a3-12422016-images-thumbs&n=13,Dish;Bakery;Pasta;Vegetable;Meat,Tomato Sauce;Penne Pasta;Basil;Parmesan Cheese;Ground Beef,Italian
Soup,A liquid dish typically served warm,https://avatars.mds.yandex.net/i?id=efaa6d44ce3d3b4ed256e521b43915c5-5189719-images-thumbs&n=13,Dish;Vegetable;Additive;Beverage;Condiment,Chicken Broth;Carrots;Celery;Onion;Salt;Pepper;Herbs,American;French
Curry,A spicy dish originating from Indian cuisine,https://avatars.mds.yandex.net/i?id=efaa6d44ce3d3b4ed256e521b43915c5-5189719-images-thumbs&n=13,Dish;Vegetable;Meat;Additive;Condiment;Plant Derivative;Spice,Curry Paste;Chicken;Potatoes;Coconut Milk;Spices,Indian
Sandwich,A portable meal typically consisting of bread and fillings,https://avatars.mds.yandex.net/i?id=026588d1e99557d31cda595fcbf7818e982b1210-12901607-images-thumbs&n=13,Dish;Bakery;Meat;Vegetable;Condiment,Bread;Ham;Cheese;Lettuce;Tomato;Mayonnaise;Mustard;Pickles,American;British
Taco,A Mexican dish consisting of a tortilla filled with various ingredients,https://avatars.mds.yandex.net/i?id=026588d1e99557d31cda595fcbf7818e982b1210-12901607-images-thumbs&n=13,Dish;Bakery;Meat;Vegetable;Condiment;Additive,Tortilla;Beef;Lettuce;Tomato;Cheese;Salsa;Guacamole;Sour Cream,Mexican
Steak,A high-quality cut of beef cooked by dry heat,https://avatars.mds.yandex.net/i?id=328a152d5314e2050e78a72d1b84e309-5375959-images-thumbs&n=13,Dish;Meat;Additive;Condiment;Beverage;Plant Derivative;Spice,Beef Steak;Salt;Pepper;Butter;Red Wine;Rosemary,American;French
